id,coaster_name,Location,Continent,Country
35KH85,Eurostar ,Europa-Park,Europe,Germany
77GL45,Excalibur ,Funtown Splashtown USA,North America,United States
85WR69,Excalibur ,Six Flags AstroWorld,North America,United States
66QB15,Excalibur ,Valleyfair,North America,United States
11YB50,Expedition Everest,Disney's Animal Kingdom,North America,United States
67ZZ85,Expedition GeForce,"Holiday Park, Germany",Europe,Germany
13EM95,Exterminator ,Kennywood,North America,United States
99GU97,Extremeroller,Worlds of Fun,North America,United States
57YQ91,F.L.Y. ,Phantasialand,Europe,Germany
10IC10,Fahrenheit ,Hersheypark,North America,United States
81EI17,Fairly Odd Coaster,Nickelodeon Universe,North America,United States
98BO47,Fairly Odd Coaster ,Carowinds,North America,United States
97QT33,Fairly Odd Coaster ,Kings Island,North America,United States
21PS15,Falcon ,Duinrell,Europe,Netherlands
70MD13,Family Inverted Coaster ,Happy Valley Shanghai,Asia,China
38WV22,F?nix,Toverland,Europe,Netherlands
91TX56,Figure Eight ,Euclid Beach Park,North America,United States
89HC34,Fiorano GT Challenge,Ferrari World Abu Dhabi,Asia,UAE
29VH71,Fire in the Hole ,Silver Dollar City,North America,United States
13WF33,Firebird ,Six Flags America,North America,United States
47IT40,FireChaser Express,Dollywood,North America,United States
11CR89,Firehawk ,Kings Island,North America,United States
21JR62,Flashback ,Six Flags Magic Mountain,North America,United States
11DY52,Flashback ,Six Flags New England,North America,United States
91OS97,Flashback ,Six Flags Over Texas,North America,United States
93CU30,Flight Deck ,California's Great America,North America,United States
69TV38,Flight Deck ,Canada's Wonderland,North America,Canada
81PM37,Flight Deck ,Kings Island,North America,United States
44CU98,Flight of Fear,Kings Island,North America,United States
92CB78,Flight of the Hippogriff,Universal Studios Hollywood,North America,United States
51FQ61,Flight of the Hippogriff,Universal Studios Islands of Adventure,North America,United States
79XA43,Flip Flap Railway,Sea Lion Park,North America,United States
22JZ77,Flitzer,Morey's Piers,North America,United States
57RH90,Flug der DÃ¤monen,Heide Park Resort,Europe,Germany
18ED77,Flyer Comet ,Whalom Park,North America,United States
22AB50,Flying Ace Aerial Chase,Kings Island,North America,United States
38VG69,Flying Aces ,Ferrari World Abu Dhabi,Asia,UAE
69ZE73,Flying Coaster ,Elitch Gardens,North America,United States
39HU14,Flying Dutchman Gold Mine,Six Flags America,North America,United States
59TM77,Flying Fish ,Thorpe Park,Europe,United Kingdom
20QX33,Flying Super Saturator,Carowinds,North America,United States
13MR86,Flying Turns ,Euclid Beach Park,North America,United States
85BM17,Flying Turns ,Knoebels Amusement Resort,North America,United States
92NH18,Flying Unicorn,Universal's Islands of Adventure,North America,United States
83AU84,Fønix,Fårup Sommerland,Europe,Denmark
35TZ11,Formula,Energylandia,Europe,Poland
92AW68,Formula Rossa,Ferrari World Abu Dhabi,Asia,UAE
93JQ37,Formule X,Drievliet Family Park,Europe,Netherlands
21OB10,Frankie's Mine Train,Great Escape,North America,United States
88VJ64,Freedom Flyer,Fun Spot America,North America,United States
86SF48,Freestyle ,Cavallino Matto,Europe,Italy
78KA77,Fujiyama ,Fuji-Q Highland,Asia,Japan
35CA87,Full Throttle ,Six Flags Magic Mountain,North America,United States
36TA32,Furius Baco,PortAventura Park,Europe,Spain
87YD10,Fury ,Bobbejaanland,Europe,Belgium
43FZ26,Fury 325,Carowinds,North America,United States
31WV34,G Force ,Drayton Manor Theme Park,Europe,United Kingdom
78AR95,Gadget's Go Coaster,Disneyland,North America,United States
24BN65,Galactica ,Alton Towers,Europe,United Kingdom
79ZC43,Galaxi,Adventuntureland (Iowa),North America,United States
75ZR19,Galaxy Orbiter,Galaxyland,North America,Canada
24QK55,GateKeeper ,Cedar Point,North America,United States
10AC87,Gemini ,Cedar Point,North America,United States
98CL92,Georgia Scorcher,Six Flags Over Georgia,North America,United States
67KH89,Ghost Chasers ,Movie Park Germany,Europe,Germany
77GW23,Ghoster Coaster ,Canada's Wonderland,North America,Canada
50MN53,GhostRider ,Knott's Berry Farm,North America,United States
37JS57,Giant Coaster ,Fuji-Q Highland,Asia,Japan
90CB16,Giant Dipper,Santa Cruz Beach Boardwalk,North America,United States
48YP86,Giant Dipper ,Belmont Park,North America,United States
68WP77,Giant Inverted Boomerang,Six Flags Great America,North America,United States
26DC65,Giant Skyrocket,Suzhou Amusement Land,Asia,China
89LN72,Glissade ,Busch Gardens Williamsburg,North America,United States
26VH68,Gold Rush ,Attractiepark Slagharen,Europe,Netherlands
28RK32,Gold Rusher,Six Flags Magic Mountain,North America,United States
15GE17,Gold Striker,California's Great America,North America,United States
78XT74,Golden Wings in Snowfield,Happy Valley Beijing,Asia,China
91PR73,Goliath ,La Ronde,North America,Canada
32KO91,Goliath ,Six Flags Fiesta Texas,North America,United States
33UJ75,Goliath ,Six Flags Great America,North America,United States
21RC14,Goliath ,Six Flags Magic Mountain,North America,United States
67EM85,Goliath ,Six Flags New England,North America,United States
15JB69,Goliath ,Six Flags Over Georgia,North America,United States
17HY42,Goliath ,Walibi Holland,Europe,Netherlands
20QG32,Goofy's Sky School,Disney California Adventure,North America,United States
